"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
899,0,0.933334,0.933334,-1,-7.3008,-7.3008,0
12161,3,-0.266666,4.76837e-07,-0.133333,-7.3008,1.94409,0
26129,0,0.933334,-1,0.933334,-7.3008,-7.3008,0
25229,1,0.933334,-1,0.866668,-7.3008,-7.3008,0
0,0,-1,-1,-1,-7.3008,-7.3008,0
1798,1,0.866668,0.933334,-0.933333,-7.3008,-7.3008,0
388,0,0.866668,-0.2,-1,-7.3008,-7.3008,0
625,1,0.666667,0.333334,-1,-7.3008,-7.3008,0
959,0,0.933334,-0.933333,-0.933333,-7.3008,-7.3008,0
1769,1,0.933334,0.866668,-0.933333,-7.3008,-7.3008,0
1770,2,-1,0.933334,-0.933333,-7.3008,-7.3008,0
840,3,-1,0.866668,-1,-7.3008,-7.3008,0
7679,0,0.933334,4.76837e-07,-0.466666,-7.3008,-7.3008,0
7709,1,0.933334,0.0666672,-0.466666,-7.3008,-7.3008,0
8519,0,0.933334,-0.133333,-0.4,-7.3008,-7.3008,0
8579,1,0.933334,4.76837e-07,-0.4,-7.3008,-7.3008,0
21586,0,0.0666672,0.933334,0.533334,-7.3008,-7.3008,0
25191,1,0.400001,0.933334,0.800001,-7.3008,-7.3008,0
21620,0,0.333334,-1,0.600001,-7.3008,-7.3008,0
21621,1,0.400001,-1,0.600001,-7.3008,-7.3008,0
22517,0,0.133334,-1,0.666667,-7.3008,-7.3008,0
22519,1,0.266667,-1,0.666667,-7.3008,-7.3008,0
23415,0,4.76837e-07,-1,0.733334,-7.3008,-7.3008,0
23416,1,0.0666672,-1,0.733334,-7.3008,-7.3008,0
26508,0,0.200001,-0.133333,0.933334,-7.3008,-7.3008,0
26510,1,0.333334,-0.133333,0.933334,-7.3008,-7.3008,0
26591,0,-0.266666,0.0666672,0.933334,-7.3008,-7.3008,0
26618,1,-0.466666,0.133334,0.933334,-7.3008,-7.22492,0
26898,0,0.200001,0.733334,0.933334,-7.3008,-7.3008,0
26902,1,0.466667,0.733334,0.933334,-7.3008,-7.3008,0
26954,0,-0.0666662,0.866668,0.933334,-7.3008,-7.3008,0
26957,1,0.133334,0.866668,0.933334,-7.3008,-7.3008,0
26998,2,0.866668,0.933334,0.933334,-7.3008,-7.3008,0
26999,3,0.933334,0.933334,0.933334,-7.3008,-7.3008,0
